network,property,n2v_verdict,n2v_time,nnv_verdict,nnv_time,abcrown_verdict,abcrown_time,agree_n2v_abcrown,n2v_vs_nnv
1_1,prop_1,unsat,112.3,timeout,123.0,unsat,8.4,same,unsat/timeout
1_2,prop_1,timeout,120.0,timeout,123.1,unsat,7.8,n2v_undecided,same
1_3,prop_1,timeout,120.0,timeout,123.2,unsat,7.9,n2v_undecided,same
1_4,prop_1,timeout,120.0,timeout,123.1,unsat,7.9,n2v_undecided,same
1_5,prop_1,timeout,120.0,timeout,123.4,unsat,7.8,n2v_undecided,same
1_6,prop_1,timeout,120.0,timeout,123.2,unsat,7.8,n2v_undecided,same
1_7,prop_1,timeout,120.0,timeout,123.4,unsat,7.7,n2v_undecided,same
1_8,prop_1,timeout,120.0,timeout,123.2,unsat,7.8,n2v_undecided,same
1_9,prop_1,timeout,120.0,timeout,123.1,unsat,7.6,n2v_undecided,same
2_1,prop_1,timeout,120.0,timeout,123.1,unsat,7.8,n2v_undecided,same
2_2,prop_1,timeout,120.0,timeout,123.2,unsat,8.0,n2v_undecided,same
2_3,prop_1,timeout,120.0,timeout,123.2,unsat,7.9,n2v_undecided,same
2_4,prop_1,timeout,120.0,timeout,123.1,unsat,7.8,n2v_undecided,same
2_5,prop_1,timeout,120.0,timeout,123.1,unsat,8.1,n2v_undecided,same
2_6,prop_1,timeout,120.0,timeout,123.1,unsat,8.1,n2v_undecided,same
2_7,prop_1,timeout,120.0,timeout,123.2,unsat,8.4,n2v_undecided,same
2_8,prop_1,timeout,120.0,timeout,123.1,unsat,8.3,n2v_undecided,same
2_9,prop_1,timeout,120.0,timeout,123.2,unsat,8.4,n2v_undecided,same
3_1,prop_1,timeout,120.0,timeout,123.2,unsat,7.9,n2v_undecided,same
3_2,prop_1,timeout,120.0,timeout,123.2,unsat,8.1,n2v_undecided,same
3_3,prop_1,timeout,120.0,timeout,123.2,unsat,7.9,n2v_undecided,same
3_4,prop_1,timeout,120.0,timeout,123.1,unsat,8.0,n2v_undecided,same
3_5,prop_1,timeout,120.0,timeout,123.1,unsat,8.0,n2v_undecided,same
3_6,prop_1,timeout,120.0,timeout,123.2,unsat,8.1,n2v_undecided,same
3_7,prop_1,timeout,120.0,timeout,123.1,unsat,8.1,n2v_undecided,same
3_8,prop_1,timeout,120.0,timeout,123.2,unsat,8.3,n2v_undecided,same
3_9,prop_1,timeout,120.0,timeout,123.0,unsat,8.5,n2v_undecided,same
4_1,prop_1,timeout,120.0,timeout,123.2,unsat,8.0,n2v_undecided,same
4_2,prop_1,timeout,120.0,timeout,123.2,unsat,7.8,n2v_undecided,same
4_3,prop_1,timeout,120.0,timeout,123.1,unsat,7.9,n2v_undecided,same
4_4,prop_1,timeout,120.0,timeout,123.0,unsat,8.0,n2v_undecided,same
4_5,prop_1,timeout,120.0,timeout,123.1,unsat,8.0,n2v_undecided,same
4_6,prop_1,timeout,120.0,timeout,123.1,unsat,8.3,n2v_undecided,same
4_7,prop_1,timeout,120.0,timeout,123.2,unsat,8.4,n2v_undecided,same
4_8,prop_1,timeout,120.0,timeout,123.0,unsat,8.2,n2v_undecided,same
4_9,prop_1,timeout,120.0,timeout,123.1,unsat,8.7,n2v_undecided,same
5_1,prop_1,timeout,120.0,timeout,123.1,unsat,7.8,n2v_undecided,same
5_2,prop_1,timeout,120.0,timeout,123.1,unsat,7.9,n2v_undecided,same
5_3,prop_1,timeout,120.0,timeout,123.3,unsat,7.9,n2v_undecided,same
5_4,prop_1,timeout,120.0,timeout,123.2,unsat,7.8,n2v_undecided,same
5_5,prop_1,timeout,120.0,timeout,123.1,unsat,8.0,n2v_undecided,same
5_6,prop_1,timeout,120.0,timeout,123.1,unsat,8.1,n2v_undecided,same
5_7,prop_1,timeout,120.0,timeout,123.1,unsat,8.1,n2v_undecided,same
5_8,prop_1,timeout,120.0,timeout,123.0,unsat,8.3,n2v_undecided,same
5_9,prop_1,timeout,120.0,timeout,123.2,unsat,8.2,n2v_undecided,same
1_1,prop_2,timeout,120.0,timeout,123.2,unsat,8.5,n2v_undecided,same
1_2,prop_2,timeout,120.0,timeout,123.2,sat,6.3,n2v_undecided,same
1_3,prop_2,timeout,120.0,timeout,123.3,sat,6.4,n2v_undecided,same
1_4,prop_2,timeout,120.0,timeout,123.2,sat,6.4,n2v_undecided,same
1_5,prop_2,timeout,120.0,timeout,123.2,sat,6.6,n2v_undecided,same
1_6,prop_2,timeout,120.0,timeout,123.2,sat,6.4,n2v_undecided,same
1_7,prop_2,timeout,120.0,timeout,123.2,unsat,8.2,n2v_undecided,same
1_8,prop_2,timeout,120.0,timeout,123.2,unsat,8.2,n2v_undecided,same
1_9,prop_2,timeout,120.0,timeout,123.2,unsat,8.2,n2v_undecided,same
2_1,prop_2,sat,0.1,sat,17.0,sat,6.4,same,same
2_2,prop_2,sat,0.0,sat,16.6,sat,6.4,same,same
2_3,prop_2,sat,0.0,sat,16.7,sat,6.4,same,same
2_4,prop_2,sat,0.0,sat,16.7,sat,6.4,same,same
2_5,prop_2,sat,0.0,sat,16.6,sat,6.5,same,same
2_6,prop_2,sat,0.0,sat,16.7,sat,6.4,same,same
2_7,prop_2,sat,0.0,sat,16.6,sat,6.4,same,same
2_8,prop_2,sat,0.0,sat,16.7,sat,6.4,same,same
2_9,prop_2,sat,0.1,sat,16.6,sat,6.4,same,same
3_1,prop_2,sat,0.0,sat,16.6,sat,6.4,same,same
3_2,prop_2,sat,0.1,timeout,123.0,sat,6.4,same,sat/timeout
3_3,prop_2,timeout,120.0,timeout,123.3,unsat,18.2,n2v_undecided,same
3_4,prop_2,sat,0.1,sat,16.9,sat,6.4,same,same
3_5,prop_2,sat,0.1,sat,16.7,sat,6.4,same,same
3_6,prop_2,sat,0.0,sat,16.7,sat,6.4,same,same
3_7,prop_2,sat,0.1,sat,16.9,sat,6.4,same,same
3_8,prop_2,sat,0.1,sat,16.7,sat,6.4,same,same
3_9,prop_2,sat,0.0,sat,16.8,sat,6.4,same,same
4_1,prop_2,sat,0.1,sat,16.7,sat,6.4,same,same
4_2,prop_2,timeout,120.0,timeout,123.0,unsat,9.8,n2v_undecided,same
4_3,prop_2,sat,0.1,sat,16.9,sat,6.4,same,same
4_4,prop_2,sat,0.1,sat,16.4,sat,6.4,same,same
4_5,prop_2,sat,0.0,sat,16.6,sat,6.4,same,same
4_6,prop_2,sat,0.0,sat,16.5,sat,6.4,same,same
4_7,prop_2,sat,0.0,sat,16.7,sat,6.4,same,same
4_8,prop_2,sat,0.0,sat,16.7,sat,6.4,same,same
4_9,prop_2,timeout,120.0,sat,16.8,sat,6.4,n2v_undecided,timeout/sat
5_1,prop_2,sat,0.0,sat,16.7,sat,6.4,same,same
5_2,prop_2,sat,0.1,sat,16.6,sat,6.3,same,same
5_3,prop_2,timeout,120.0,timeout,123.0,sat,6.6,n2v_undecided,same
5_4,prop_2,sat,0.1,sat,16.9,sat,6.3,same,same
5_5,prop_2,sat,0.0,sat,16.6,sat,6.4,same,same
5_6,prop_2,sat,0.0,sat,16.7,sat,6.4,same,same
5_7,prop_2,sat,0.0,sat,16.6,sat,6.4,same,same
5_8,prop_2,sat,0.0,sat,16.6,sat,6.4,same,same
5_9,prop_2,sat,0.0,sat,16.5,sat,6.4,same,same
1_1,prop_3,unsat,82.3,timeout,122.9,unsat,8.1,same,unsat/timeout
1_2,prop_3,unsat,56.4,timeout,123.1,unsat,7.6,same,unsat/timeout
1_3,prop_3,unsat,21.2,timeout,123.0,unsat,7.7,same,unsat/timeout
1_4,prop_3,unsat,10.9,unsat,18.0,unsat,7.6,same,same
1_5,prop_3,unsat,11.5,unsat,17.7,unsat,7.4,same,same
1_6,prop_3,unsat,5.1,unsat,17.6,unsat,6.3,same,same
1_7,prop_3,sat,0.0,sat,16.1,sat,6.3,same,same
1_8,prop_3,sat,0.0,sat,15.9,sat,6.3,same,same
1_9,prop_3,sat,0.0,sat,15.9,sat,6.4,same,same
2_1,prop_3,unsat,21.9,timeout,122.9,unsat,7.7,same,unsat/timeout
2_2,prop_3,unsat,10.7,unsat,118.0,unsat,7.7,same,same
2_3,prop_3,unsat,16.9,timeout,123.3,unsat,7.7,same,unsat/timeout
2_4,prop_3,unsat,3.6,unsat,17.7,unsat,6.4,same,same
2_5,prop_3,unsat,7.3,unsat,18.0,unsat,7.5,same,same
2_6,prop_3,unsat,4.0,unsat,17.6,unsat,6.3,same,same
2_7,prop_3,unsat,5.4,unsat,17.8,unsat,6.3,same,same
2_8,prop_3,unsat,4.0,unsat,17.5,unsat,6.3,same,same
2_9,prop_3,unsat,2.9,unsat,17.3,unsat,6.3,same,same
3_1,prop_3,unsat,9.9,unsat,17.8,unsat,7.5,same,same
3_2,prop_3,unsat,55.0,timeout,122.8,unsat,7.6,same,unsat/timeout
3_3,prop_3,unsat,14.9,unsat,18.3,unsat,7.5,same,same
3_4,prop_3,unsat,6.5,unsat,81.0,unsat,7.6,same,same
3_5,prop_3,unsat,4.8,unsat,18.2,unsat,7.5,same,same
3_6,prop_3,unsat,7.0,unsat,78.8,unsat,7.5,same,same
3_7,prop_3,unsat,2.3,unsat,17.8,unsat,6.3,same,same
3_8,prop_3,unsat,4.8,unsat,17.6,unsat,7.5,same,same
3_9,prop_3,unsat,4.9,unsat,17.7,unsat,7.5,same,same
4_1,prop_3,unsat,5.4,unsat,80.4,unsat,7.6,same,same
4_2,prop_3,unsat,29.3,timeout,123.1,unsat,7.6,same,unsat/timeout
4_3,prop_3,unsat,32.2,timeout,123.2,unsat,7.8,same,unsat/timeout
4_4,prop_3,unsat,4.1,unsat,18.0,unsat,7.4,same,same
4_5,prop_3,unsat,2.8,unsat,17.5,unsat,6.4,same,same
4_6,prop_3,unsat,7.1,unsat,18.4,unsat,7.4,same,same
4_7,prop_3,unsat,5.1,unsat,17.7,unsat,7.5,same,same
4_8,prop_3,unsat,4.4,unsat,17.7,unsat,6.3,same,same
4_9,prop_3,unsat,4.7,unsat,17.8,unsat,7.6,same,same
5_1,prop_3,unsat,14.4,timeout,122.9,unsat,7.6,same,unsat/timeout
5_2,prop_3,unsat,5.2,unsat,17.9,unsat,7.6,same,same
5_3,prop_3,unsat,6.5,unsat,18.1,unsat,7.4,same,same
5_4,prop_3,unsat,4.0,unsat,17.7,unsat,7.4,same,same
5_5,prop_3,unsat,4.9,unsat,17.7,unsat,7.4,same,same
5_6,prop_3,unsat,6.1,unsat,17.8,unsat,7.4,same,same
5_7,prop_3,unsat,2.3,unsat,17.5,unsat,6.3,same,same
5_8,prop_3,unsat,7.0,unsat,17.8,unsat,7.4,same,same
5_9,prop_3,unsat,2.2,unsat,17.6,unsat,7.4,same,same
1_1,prop_4,unsat,25.0,timeout,123.0,unsat,7.6,same,unsat/timeout
1_2,prop_4,unsat,17.7,timeout,123.2,unsat,7.6,same,unsat/timeout
1_3,prop_4,unsat,14.9,timeout,123.1,unsat,7.6,same,unsat/timeout
1_4,prop_4,unsat,4.1,unsat,62.7,unsat,7.6,same,same
1_5,prop_4,unsat,12.5,timeout,123.1,unsat,7.5,same,unsat/timeout
1_6,prop_4,unsat,8.1,unsat,18.2,unsat,7.4,same,same
1_7,prop_4,sat,0.0,sat,15.9,sat,6.3,same,same
1_8,prop_4,sat,0.0,sat,16.1,sat,6.3,same,same
1_9,prop_4,sat,0.0,sat,16.0,sat,6.3,same,same
2_1,prop_4,unsat,8.4,unsat,95.2,unsat,7.5,same,same
2_2,prop_4,unsat,8.8,unsat,96.7,unsat,7.5,same,same
2_3,prop_4,unsat,4.0,unsat,17.9,unsat,7.4,same,same
2_4,prop_4,unsat,3.6,unsat,17.9,unsat,7.4,same,same
2_5,prop_4,unsat,7.3,unsat,18.0,unsat,7.5,same,same
2_6,prop_4,unsat,5.0,unsat,18.0,unsat,7.4,same,same
2_7,prop_4,unsat,4.0,unsat,17.7,unsat,7.4,same,same
2_8,prop_4,unsat,8.4,unsat,79.7,unsat,7.6,same,same
2_9,prop_4,unsat,3.6,unsat,17.8,unsat,6.4,same,same
3_1,prop_4,unsat,9.3,unsat,17.9,unsat,7.5,same,same
3_2,prop_4,unsat,11.3,unsat,17.7,unsat,7.5,same,same
3_3,prop_4,unsat,3.8,unsat,17.7,unsat,6.3,same,same
3_4,prop_4,unsat,4.0,unsat,17.7,unsat,7.4,same,same
3_5,prop_4,unsat,7.8,unsat,18.1,unsat,7.4,same,same
3_6,prop_4,unsat,5.9,unsat,18.1,unsat,7.6,same,same
3_7,prop_4,unsat,5.6,unsat,17.7,unsat,7.5,same,same
3_8,prop_4,unsat,3.9,unsat,62.1,unsat,7.5,same,same
3_9,prop_4,unsat,9.7,unsat,18.2,unsat,7.5,same,same
4_1,prop_4,unsat,3.4,unsat,17.7,unsat,6.3,same,same
4_2,prop_4,unsat,4.9,unsat,18.0,unsat,7.6,same,same
4_3,prop_4,unsat,7.2,unsat,18.0,unsat,7.5,same,same
4_4,prop_4,unsat,5.4,unsat,70.3,unsat,7.5,same,same
4_5,prop_4,unsat,5.2,unsat,18.4,unsat,7.4,same,same
4_6,prop_4,unsat,6.4,unsat,18.2,unsat,7.5,same,same
4_7,prop_4,unsat,3.0,unsat,17.8,unsat,7.4,same,same
4_8,prop_4,unsat,6.6,unsat,18.2,unsat,7.5,same,same
4_9,prop_4,unsat,8.4,unsat,18.1,unsat,7.5,same,same
5_1,prop_4,unsat,9.7,unsat,18.0,unsat,7.4,same,same
5_2,prop_4,unsat,6.9,unsat,17.8,unsat,7.5,same,same
5_3,prop_4,unsat,4.8,unsat,17.9,unsat,7.4,same,same
5_4,prop_4,unsat,4.3,unsat,17.9,unsat,7.4,same,same
5_5,prop_4,unsat,6.0,unsat,17.9,unsat,7.5,same,same
5_6,prop_4,unsat,4.4,unsat,17.8,unsat,6.3,same,same
5_7,prop_4,unsat,2.8,unsat,17.7,unsat,6.3,same,same
5_8,prop_4,unsat,4.3,unsat,18.1,unsat,7.5,same,same
5_9,prop_4,unsat,5.3,unsat,17.7,unsat,7.4,same,same
1_1,prop_5,timeout,120.0,timeout,122.9,unsat,8.5,n2v_undecided,same
1_1,prop_6,timeout,120.0,error,49.2,unsat,9.4,n2v_undecided,timeout/error
1_9,prop_7,timeout,120.0,timeout,123.2,sat,6.4,n2v_undecided,same
2_9,prop_8,timeout,120.0,sat,17.0,sat,6.4,n2v_undecided,timeout/sat
3_3,prop_9,timeout,120.0,timeout,123.0,unsat,8.3,n2v_undecided,same
4_5,prop_10,timeout,120.0,timeout,123.1,unsat,8.1,n2v_undecided,same
